"MonthsonHousingRegister","FamilyType","PeopleonApplication","DisabilityApplicationFlag","AtRiskOfOrExperiencingHomelessnessFlag"
9," Single Person",1,"No","Yes"
9," Single Person",1,"No","Yes"
11," Single Person",1,"No","Yes"
13," Single Person",1,"No","Yes"
16," Single Person Over ",1,"Yes","Yes"
20," Single Person",1,"Yes","Yes"
9," Single Person Over ",1,"Yes","No"
10," Single Person Over ",1,"Yes","Yes"
8," Single Person",1,"No","Yes"
6," Single Person",1,"No","Yes"
8," Single Person",1,"No","Yes"
8," Single Person",1,"No","No"
8," Single Person",1,"No","No"
7," Single Person Over ",1,"Yes","No"
8," Single Person",1,"Yes","No"
8," Single Person",1,"Yes","No"
7," Single Person",1,"No","Yes"
8," Single Parent,  Child",2,"No","Yes"
10," Single Person Over ",1,"No","Yes"
14," Single Person",1,"No","Yes"
8," Single Person",1,"No","Yes"
6," Single Person",1,"No","No"
9," Couple Only",3,"Yes","Yes"
10," Single Person",1,"Yes","No"
6," Single Person",1,"No","Yes"
19," Single Parent,  Child",2,"No","No"
8," Single Parent,  Children",3,"No","Yes"
11," Single Parent,  Child",2,"No","Yes"
7," Single Person",1,"No","Yes"
7," Single Parent, > Children",5,"No","No"
9," Couple Only Over ",2,"Yes","No"
16," Single Person",1,"Yes","No"
10," Single Person Over ",1,"Yes","No"
9," Single Person",1,"No","Yes"
7," Single Person",1,"No","Yes"
14," Single Person",1,"No","No"
13," Single Person",1,"Yes","Yes"
10," Single Person Over ",1,"Yes","No"
12," Single Parent,  Child",2,"No","No"
9," Single Parent,  Children",3,"No","Yes"
10," Single Person Over ",1,"Yes","No"
9," Single Parent,  Children",3,"No","Yes"
9," Single Parent, > Children",8,"No","Yes"
8," Single Parent,  Child",2,"No","Yes"
13," Single Parent, > Children",5,"No","Yes"
8," Single Person",1,"No","Yes"
6," Single Person Over ",1,"Yes","No"
7," Single Person Over ",1,"No","Yes"
8," Single Person",1,"No","Yes"
8," Single Person",1,"No","No"
10," Single Person",1,"No","Yes"
8," Single Person Over ",1,"Yes","No"
13," Single Person Over ",1,"Yes","No"
6," Single Person",1,"Yes","Yes"
15," Single Person",1,"Yes","Yes"
35," Single Parent,  Children",3,"Yes","No"
9," Single Parent,  Child",2,"No","Yes"
6," Single Parent, > Children",4,"Yes","Yes"
6," Single Parent,  Child",2,"No","Yes"
8," Single Person",1,"No","No"
13," Single Person",1,"Yes","Yes"
11," Single Person Over ",1,"Yes","Yes"
7," Single Person",1,"Yes","Yes"
13," Single Person",1,"Yes","No"
10," Single Person",1,"Yes","No"
22," Single Person Over ",1,"Yes","No"
6," Single Person",1,"No","No"
10," Couple Only Over ",2,"Yes","No"
13," Single Person Over ",1,"Yes","No"
6," Single Parent,  Children",3,"No","Yes"
6," Single Person",1,"No","Yes"
15," Single Person",1,"No","Yes"
10," Single Parent,  Child",2,"No","Yes"
13," Single Parent,  Child",2,"No","Yes"
6," Single Person",1,"No","Yes"
6," Single Parent,  Children",3,"No","Yes"
6," Couple, > Children",5,"No","No"
10," Single Person Over ",1,"No","Yes"
6," Single Parent,  Children",3,"No","No"
10," Single Parent,  Children",3,"No","Yes"
7," Single Person",1,"No","No"
6," Single Person",1,"No","Yes"
16," Single Person Over ",1,"Yes","No"
7," Single Parent,  Child",2,"No","Yes"
8," Single Person",1,"No","No"
18," Single Person",1,"No","No"
9," Single Person",1,"No","Yes"
10," Single Parent,  Child",2,"No","Yes"
6," Single Parent,  Child",2,"Yes","No"
15," Other",2,"Yes","No"
19," Single Person Over ",1,"Yes","No"
8," Single Person",1,"No","No"
14," Single Person",1,"Yes","No"
8," Single Person Over ",1,"No","Yes"
7," Single Person Over ",1,"Yes","Yes"
10," Single Parent, > Children",4,"No","Yes"
11," Single Person Over ",1,"Yes","No"
7," Single Person",1,"No","Yes"
8," Single Parent,  Children",3,"No","No"
9," Single Person",1,"No","No"
6," Single Person",1,"No","Yes"
7," Single Person",1,"No","Yes"
8," Single Person",1,"No","Yes"
12," Couple, > Children",11,"No","No"
6," Single Person",1,"No","Yes"
15," Single Person",1,"No","Yes"
8," Single Parent,  Children",3,"No","Yes"
10," Single Person Over ",1,"Yes","No"
44," Single Person",1,"No","No"
7," Single Person",1,"No","No"
10," Single Parent,  Child",2,"No","Yes"
9," Single Person",1,"No","Yes"
13," Single Person",1,"Yes","No"
12," Single Parent, > Children",5,"Yes","Yes"
8," Single Person",1,"Yes","Yes"
6," Single Parent, > Children",5,"No","Yes"
9," Single Parent,  Children",3,"No","Yes"
9," Single Person",1,"Yes","No"
6," Single Parent, > Children",4,"No","Yes"
11," Single Person",1,"Yes","Yes"
6," Single Parent,  Child",2,"No","Yes"
16," Couple Only Over ",2,"Yes","No"
6," Single Person",1,"No","Yes"
9," Single Parent,  Children",3,"Yes","Yes"
6," Single Parent, > Children",5,"No","Yes"
20," Single Person",1,"Yes","Yes"
10," Single Person",1,"No","Yes"
6," Single Person",1,"Yes","Yes"
10," Couple Only Over ",2,"Yes","No"
51," Single Person",1,"Yes","Yes"
10," Single Person",1,"No","Yes"
9," Couple Only Over ",2,"Yes","No"
6," Single Person",1,"No","No"
6," Single Person",1,"Yes","Yes"
6," Single Person",1,"No","Yes"
8," Single Parent,  Children",3,"No","Yes"
7," Single Parent,  Children",3,"Yes","Yes"
7," Single Person Over ",1,"Yes","No"
8," Single Person",1,"Yes","No"
9," Single Parent,  Children",3,"No","No"
8," Single Person",1,"Yes","No"
6," Single Person Over ",1,"Yes","Yes"
8," Single Parent,  Child",2,"No","No"
17," Single Person",1,"Yes","Yes"
6," Single Person",1,"No","Yes"
6," Single Parent,  Child",2,"No","Yes"
6," Single Parent,  Child",2,"No","No"
10," Single Person Over ",1,"Yes","Yes"
16," Single Parent, > Children",4,"No","No"
10," Single Parent,  Children",3,"Yes","Yes"
13," Single Person",1,"No","Yes"
9," Single Person",1,"Yes","No"
9," Single Person",1,"Yes","Yes"
9," Single Person",1,"No","Yes"
8," Single Person",1,"No","Yes"
6," Single Person",1,"Yes","Yes"
12," Single Person",1,"No","Yes"
10," Single Person",1,"No","Yes"
16," Single Person",1,"No","Yes"
6," Single Parent, > Children",5,"No","Yes"
8," Single Person",1,"No","No"
11," Single Person",1,"No","Yes"
9," Couple Only Over ",2,"Yes","Yes"
10," Couple,  Child",3,"No","Yes"
11," Single Parent,  Child",2,"Yes","Yes"
9," Single Person",1,"Yes","No"
11," Single Person",1,"No","No"
6," Single Person",1,"No","Yes"
24," Single Person Over ",1,"Yes","No"
11," Single Person Over ",1,"Yes","Yes"
20," Single Person Over ",1,"Yes","Yes"
14," Single Person Over ",1,"Yes","Yes"
8," Single Parent,  Child",2,"Yes","Yes"
10," Single Person Over ",1,"Yes","Yes"
10," Single Parent,  Child",2,"Yes","No"
14," Single Person Over ",1,"Yes","No"
9," Single Person Over ",1,"Yes","Yes"
7," Single Person",1,"No","No"
6," Single Person",1,"No","No"
6," Single Person",1,"No","No"
27," Single Parent,  Children",3,"No","No"
6," Single Person",1,"No","No"
9," Couple Only Over ",2,"Yes","Yes"
6," Single Person",1,"Yes","Yes"
11," Single Person",1,"No","Yes"
24," Single Person",1,"No","No"
6," Single Person",1,"No","No"
15," Other",3,"Yes","No"
12," Single Parent,  Child",2,"No","Yes"
6," Single Person Over ",1,"Yes","Yes"
10," Single Parent,  Child",2,"No","Yes"
7," Single Person",1,"No","Yes"
18," Single Person",1,"Yes","Yes"
11," Couple Only Over ",2,"Yes","Yes"
10," Single Parent,  Child",2,"No","Yes"
9," Single Parent, > Children",7,"Yes","Yes"
10," Single Parent,  Child",2,"Yes","Yes"
5," Single Parent,  Child",2,"No","Yes"
6," Single Person",1,"Yes","No"
7," Single Person Over ",1,"Yes","Yes"
7," Single Parent,  Child",2,"No","Yes"
22," Single Person Over ",1,"Yes","No"
7," Single Person Over ",1,"Yes","No"
5," Single Person",1,"No","Yes"
7," Single Person Over ",1,"Yes","No"
7," Single Person",1,"No","No"
7," Single Parent, > Children",4,"No","Yes"
9," Single Parent,  Children",3,"No","Yes"
6," Single Person",1,"No","Yes"
5," Single Person",1,"No","No"
11," Single Person",1,"No","Yes"
9," Single Parent, > Children",4,"Yes","Yes"
11," Single Person",1,"Yes","Yes"
19," Single Parent,  Child",2,"No","No"
8," Single Person",1,"No","Yes"
9," Single Person",1,"No","No"
14," Single Person",1,"No","No"
6," Single Parent,  Child",2,"No","Yes"
9," Single Person Over ",1,"Yes","No"
9," Couple Only",2,"Yes","No"
9," Single Parent, > Children",5,"No","Yes"
6," Single Person",1,"No","Yes"
6," Single Person Over ",1,"Yes","Yes"
9," Single Person",1,"No","Yes"
5," Single Parent,  Children",3,"No","No"
11," Single Person Over ",1,"Yes","No"
25," Single Parent, > Children",4,"Yes","No"
17," Single Person",1,"No","Yes"
8," Single Person",1,"No","Yes"
13," Single Parent,  Child",2,"No","No"
10," Single Person",1,"No","No"
7," Single Person",1,"Yes","Yes"
11," Single Parent,  Children",3,"No","No"
10," Single Person Over ",1,"Yes","Yes"
7," Single Person",1,"No","No"
8," Single Person Over ",1,"Yes","No"
5," Single Person Over ",1,"Yes","Yes"
10," Single Person",1,"No","Yes"
38," Single Person",1,"No","Yes"
8," Single Parent,  Child",2,"No","Yes"
5," Single Person",1,"No","Yes"
5," Couple Only",2,"Yes","Yes"
8," Single Parent,  Children",3,"No","No"
8," Single Person",1,"No","No"
5," Single Person",1,"No","Yes"
5," Single Person",1,"Yes","Yes"
7," Single Parent,  Child",2,"No","Yes"
5," Single Person",1,"No","Yes"
8," Single Parent,  Child",2,"No","No"
8," Single Parent,  Children",3,"No","Yes"
10," Single Person",1,"No","No"
8," Single Person",1,"No","No"
10," Single Parent, > Children",4,"No","No"
7," Single Person Over ",1,"Yes","No"
6," Single Person Over ",1,"Yes","Yes"
9," Single Parent, > Children",6,"Yes","No"
20," Single Person",1,"No","No"
10," Single Person",1,"Yes","Yes"
11," Single Parent,  Children",3,"No","Yes"
7," Single Person Over ",1,"Yes","Yes"
6," Single Parent, > Children",5,"No","Yes"
6," Single Person",1,"No","No"
6," Other",2,"No","Yes"
6," Single Person",1,"No","Yes"
6," Single Person",1,"No","Yes"
16," Single Person",1,"No","No"
7," Single Person",1,"No","No"
5," Single Person",1,"No","Yes"
5," Single Person",1,"Yes","No"
5," Single Person",1,"No","No"
9," Single Parent,  Child",2,"No","No"
6," Single Person",1,"No","Yes"
13," Single Parent,  Child",2,"No","No"
12," Single Person",1,"No","No"
8," Single Person",1,"Yes","Yes"
8," Single Parent, > Children",4,"No","Yes"
10," Single Person Over ",1,"Yes","No"
12," Couple Only Over ",2,"Yes","No"
8," Single Parent,  Children",3,"No","Yes"
5," Single Parent, > Children",5,"Yes","Yes"
6," Single Person",1,"Yes","Yes"
7," Single Person",1,"No","Yes"
6," Single Person",1,"No","Yes"
10," Single Parent, > Children",4,"Yes","Yes"
8," Single Parent,  Child",2,"No","Yes"
16," Single Person Over ",1,"Yes","No"
9," Single Parent, > Children",6,"No","Yes"
5," Single Parent,  Children",3,"No","Yes"
5," Single Person",1,"No","No"
5," Single Person",1,"No","No"
6," Single Parent,  Child",2,"No","Yes"
12," Single Person",1,"Yes","No"
6," Single Person",1,"No","Yes"
6," Single Parent, > Children",8,"No","Yes"
8," Single Parent,  Child",2,"No","No"
8," Single Person Over ",1,"Yes","No"
8," Single Person",1,"No","Yes"
6," Single Person",1,"Yes","No"
5," Single Person",1,"Yes","Yes"
29," Single Person",1,"No","No"
5," Single Parent,  Children",3,"No","Yes"
9," Single Person",1,"Yes","Yes"
7," Single Person",1,"Yes","No"
5," Single Person",1,"No","Yes"
6," Single Person",1,"No","Yes"
9," Single Person Over ",1,"Yes","No"
5," Single Person",1,"Yes","Yes"
7," Single Person",1,"No","Yes"
7," Single Parent, > Children",4,"No","No"
9," Single Person",1,"No","Yes"
5," Single Parent,  Children",3,"No","No"
14," Single Person Over ",1,"Yes","No"
7," Single Parent,  Child",2,"No","Yes"
7," Single Parent,  Child",2,"No","Yes"
11," Single Person",1,"No","No"
12," Couple Only",2,"No","No"
20," Single Parent,  Child",2,"No","No"
6," Other",2,"Yes","Yes"
12," Single Parent,  Child",2,"No","No"
10," Single Person Over ",1,"Yes","Yes"
8," Single Parent,  Children",3,"No","Yes"
11," Single Parent,  Child",2,"Yes","Yes"
5," Single Parent, > Children",5,"No","Yes"
12," Single Person",1,"Yes","Yes"
5," Single Parent,  Child",2,"No","Yes"
8," Single Person Over ",1,"Yes","No"
7," Single Parent,  Children",3,"No","Yes"
7," Single Parent,  Children",3,"No","No"
11," Single Person Over ",1,"Yes","No"
6," Single Person",1,"Yes","No"
5," Single Person",1,"No","Yes"
6," Single Person Over ",1,"Yes","Yes"
14," Single Person Over ",1,"Yes","No"
6," Single Person Over ",1,"Yes","Yes"
8," Single Person Over ",1,"Yes","No"
10," Single Person Over ",1,"Yes","No"
5," Single Person",1,"No","Yes"
5," Single Parent,  Child",2,"No","Yes"
7," Single Person",1,"No","No"
9," Single Parent,  Child",2,"Yes","No"
5," Single Parent,  Children",3,"No","Yes"
6," Single Parent,  Children",3,"No","Yes"
7," Single Parent, > Children",5,"No","Yes"
7," Single Person",1,"No","Yes"
8," Single Person Over ",1,"Yes","No"
8," Couple Only Over ",3,"Yes","No"
5," Single Person",1,"Yes","No"
7," Single Parent, > Children",4,"Yes","Yes"
6," Single Person Over ",1,"No","Yes"
7," Single Parent,  Child",2,"No","Yes"
11," Single Parent,  Child",2,"No","Yes"
7," Single Parent,  Child",2,"No","No"
5," Single Person",1,"No","Yes"
6," Single Person",1,"Yes","No"
8," Single Parent,  Children",3,"No","Yes"
5," Single Parent,  Child",2,"No","Yes"
5," Single Person",1,"No","No"
9," Single Person Over ",1,"Yes","No"
5," Single Person",1,"No","Yes"
5," Single Person",1,"No","Yes"
51," Single Person",1,"No","Yes"
5," Single Person",1,"Yes","Yes"
5," Single Person",1,"No","Yes"
6," Single Parent, > Children",4,"No","Yes"
9," Couple Only Over ",2,"Yes","Yes"
6," Single Person Over ",1,"Yes","No"
20," Single Parent,  Child",2,"No","No"
5," Single Person",1,"Yes","Yes"
17," Single Parent,  Child",2,"No","No"
6," Single Person",1,"Yes","Yes"
8," Single Person",1,"Yes","Yes"
8," Single Person Over ",1,"Yes","No"
7," Single Parent,  Children",3,"No","Yes"
8," Single Person Over ",1,"Yes","No"
14," Single Parent,  Children",3,"No","Yes"
8," Single Person",1,"No","No"
9," Single Parent,  Child",2,"Yes","Yes"
6," Single Person",1,"Yes","Yes"
8," Single Parent, > Children",4,"No","No"
9," Single Person",1,"No","Yes"
20," Single Person",1,"No","Yes"
11," Single Person",1,"No","Yes"
8," Single Person",1,"Yes","No"
8," Single Person Over ",1,"Yes","No"
8," Single Parent, > Children",7,"No","No"
6," Single Person",1,"No","Yes"
8," Single Person Over ",1,"Yes","No"
6," Single Person Over ",1,"No","Yes"
13," Single Person",1,"No","Yes"
13," Single Parent, > Children",4,"Yes","No"
22," Single Parent,  Child",2,"Yes","Yes"
8," Single Parent, > Children",5,"No","No"
8," Single Parent,  Child",2,"No","Yes"
22," Single Person Over ",1,"Yes","Yes"
10," Couple Only Over ",2,"Yes","Yes"
8," Single Person",1,"Yes","Yes"
5," Single Person",1,"No","No"
7," Couple, > Children",6,"Yes","No"
8," Single Parent, > Children",5,"No","Yes"
9," Single Person",1,"No","Yes"
6," Single Person",1,"No","Yes"
5," Single Person",1,"No","Yes"
6," Single Person",1,"No","Yes"
5," Single Person",1,"No","No"
7," Single Parent,  Child",2,"No","No"
11," Single Parent,  Children",3,"No","No"
11," Single Person Over ",1,"Yes","No"
6," Single Person",1,"No","Yes"
5," Single Parent,  Child",2,"No","No"
5," Single Person Over ",1,"Yes","No"
7," Single Parent, > Children",4,"Yes","Yes"
5," Single Parent,  Children",3,"No","No"
7," Single Person",1,"No","Yes"
7," Single Parent,  Child",2,"No","No"
5," Single Parent, > Children",4,"No","No"
5," Single Person",1,"Yes","No"
9," Single Person",1,"No","Yes"
5," Single Person",1,"No","Yes"
9," Single Person",1,"Yes","Yes"
8," Single Person Over ",1,"Yes","No"
8," Single Person",1,"No","Yes"
8," Single Person",1,"No","Yes"
10," Single Parent,  Children",3,"No","Yes"
13," Single Person Over ",1,"Yes","No"
13," Single Person",1,"No","Yes"
6," Single Person",1,"No","No"
10," Single Person",1,"No","No"
6," Single Person",1,"No","Yes"
8," Single Person Over ",1,"Yes","Yes"
6," Single Person",1,"No","No"
6," Single Person",1,"No","Yes"
7," Single Person",1,"No","No"
6," Single Person Over ",1,"Yes","Yes"
6," Single Parent, > Children",4,"Yes","Yes"
8," Single Person",1,"No","Yes"
7," Single Person",1,"Yes","No"
6," Single Parent,  Children",3,"No","Yes"
6," Single Person",1,"No","Yes"
5," Single Parent,  Child",2,"No","Yes"
16," Single Person",1,"Yes","No"
14," Couple Only",2,"Yes","Yes"
7," Single Person",1,"No","No"
7," Single Person",1,"No","Yes"
6," Single Person",1,"Yes","Yes"
16," Single Parent,  Child",2,"Yes","No"
6," Couple,  Child",3,"No","No"
32," Single Person",1,"No","No"
5," Single Person",1,"Yes","No"
7," Single Person Over ",1,"Yes","Yes"
5," Couple Only Over ",3,"Yes","Yes"
8," Single Parent,  Child",2,"No","No"
6," Single Person",1,"No","Yes"
7," Single Person",1,"Yes","Yes"
13," Single Person",1,"Yes","No"
8," Single Person",1,"Yes","Yes"
5," Single Parent, > Children",5,"No","Yes"
13," Single Parent,  Child",2,"No","Yes"
7," Single Person Over ",1,"Yes","No"
9," Single Parent,  Child",2,"No","Yes"
19," Single Person",1,"Yes","Yes"
6," Single Person",1,"No","Yes"
17," Single Parent,  Children",3,"No","No"
7," Single Parent,  Children",3,"No","Yes"
9," Single Person",1,"No","No"
7," Single Parent,  Child",2,"No","No"
15," Single Person",1,"No","No"
8," Single Parent,  Children",3,"No","No"
8," Single Person Over ",1,"Yes","Yes"
8," Single Parent, > Children",4,"No","Yes"
12," Single Parent,  Children",3,"No","No"
11," Single Parent, > Children",4,"No","Yes"
8," Single Person",1,"Yes","Yes"
8," Single Person",1,"Yes","No"
7," Single Person",1,"No","No"
7," Single Parent,  Child",2,"Yes","Yes"
5," Single Person Over ",1,"Yes","No"
24," Single Parent,  Children",3,"Yes","No"
9," Single Person",1,"No","Yes"
8," Single Person",1,"No","Yes"
11," Single Person",1,"Yes","Yes"
6," Single Parent,  Child",2,"No","No"
6," Couple Only Over ",2,"Yes","Yes"
5," Single Person Over ",1,"Yes","Yes"
11," Single Parent,  Children",3,"No","No"
10," Single Person Over ",1,"Yes","Yes"
11," Single Person Over ",1,"Yes","No"
13," Single Parent, > Children",5,"No","No"
8," Single Person Over ",1,"Yes","No"
7," Single Person Over ",1,"Yes","No"
5," Single Person Over ",1,"Yes","No"
8," Single Parent,  Children",3,"No","Yes"
6," Single Person",1,"Yes","Yes"
7," Single Person Over ",1,"Yes","No"
5," Single Person",1,"No","Yes"
8," Single Person",1,"No","Yes"
6," Single Person",1,"Yes","No"
7," Single Person Over ",1,"Yes","Yes"
13," Single Person",1,"Yes","No"
10," Single Person Over ",1,"Yes","No"
13," Single Person",1,"No","Yes"
8," Single Person Over ",1,"Yes","Yes"
10," Single Person Over ",1,"Yes","No"
12," Single Person",1,"Yes","No"
9," Single Parent, > Children",4,"No","Yes"
6," Single Person Over ",1,"Yes","No"
6," Single Person",1,"No","Yes"
5," Single Person",1,"No","Yes"
6," Single Person",1,"Yes","Yes"
9," Single Person Over ",1,"Yes","Yes"
7," Single Parent,  Child",2,"No","Yes"
13," Single Parent, > Children",4,"No","Yes"
5," Single Parent,  Child",2,"No","No"
6," Single Person",1,"No","Yes"
9," Single Person Over ",1,"Yes","Yes"
5," Single Parent,  Children",3,"No","No"
5," Single Person Over ",1,"Yes","Yes"
12," Single Person Over ",1,"No","No"
5," Single Person Over ",1,"Yes","No"
6," Single Person",1,"Yes","Yes"
5," Single Person",1,"No","Yes"
13," Single Person Over ",1,"Yes","No"
20," Single Person",1,"Yes","Yes"
6," Single Parent, > Children",4,"No","Yes"
10," Single Person",1,"No","No"
5," Single Person",1,"No","Yes"
10," Single Parent, > Children",4,"No","Yes"
5," Single Person",1,"Yes","Yes"
12," Single Person Over ",1,"Yes","Yes"
7," Single Person",1,"No","Yes"
5," Single Person",1,"No","Yes"
9," Single Person",1,"No","Yes"
11," Single Parent,  Children",3,"No","Yes"
7," Single Person",1,"No","Yes"
5," Single Person Over ",1,"No","Yes"
9," Single Parent, > Children",4,"Yes","Yes"
5," Single Parent,  Child",2,"No","Yes"
9," Single Person",1,"No","Yes"
5," Single Person",1,"No","Yes"
26," Single Parent,  Child",2,"No","Yes"
6," Single Parent, > Children",7,"No","Yes"
8," Single Person Over ",1,"Yes","No"
8," Single Person",1,"No","Yes"
21," Single Person",1,"No","No"
10," Single Person Over ",1,"Yes","No"
8," Single Parent,  Child",2,"No","Yes"
9," Single Person",1,"No","Yes"
8," Single Person",1,"No","Yes"
8," Single Person Over ",1,"Yes","No"
15," Single Parent,  Child",2,"No","No"
12," Single Person",1,"No","No"
7," Couple, > Children",5,"Yes","No"
6," Single Person",1,"No","Yes"
12," Single Person",1,"Yes","No"
10," Single Person",1,"Yes","No"
5," Single Person",1,"No","No"
6," Single Person",1,"No","Yes"
15," Single Person",1,"No","Yes"
10," Single Person",1,"No","No"
8," Single Person Over ",1,"Yes","No"
5," Single Person",1,"Yes","Yes"
5," Single Parent,  Child",2,"No","No"
10," Single Parent, > Children",4,"No","No"
12," Single Person",1,"Yes","Yes"
30," Single Person",1,"Yes","No"
8," Couple,  Children",4,"Yes","No"
7," Single Person Over ",1,"Yes","No"
6," Single Person",1,"No","No"
19," Single Person",1,"No","No"
14," Single Parent,  Children",3,"No","No"
12," Single Parent,  Children",3,"No","Yes"
10," Single Person",1,"No","Yes"
9," Single Parent,  Child",2,"No","Yes"
6," Single Person Over ",1,"Yes","Yes"
8," Single Parent,  Child",2,"No","No"
7," Couple Only Over ",2,"Yes","No"
5," Single Parent,  Child",2,"No","No"
5," Single Person",1,"Yes","Yes"
6," Single Person",1,"No","Yes"
5," Single Person",1,"No","Yes"
7," Single Person Over ",1,"Yes","No"
19," Single Person Over ",1,"Yes","No"
5," Single Person Over ",1,"Yes","Yes"
8," Single Parent, > Children",4,"Yes","No"
13," Single Person Over ",1,"Yes","No"
5," Single Parent,  Child",2,"No","No"
12," Single Person Over ",1,"Yes","No"
7," Single Parent, > Children",4,"Yes","No"
12," Single Person Over ",1,"Yes","Yes"
33," Single Parent,  Child",2,"Yes","No"
6," Single Person Over ",1,"Yes","No"
7," Single Person",1,"No","No"
7," Single Person Over ",1,"Yes","No"
7," Single Parent, > Children",6,"Yes","Yes"
5," Single Parent,  Children",3,"No","Yes"
20," Single Person",1,"No","Yes"
5," Single Person",1,"Yes","Yes"
10," Single Person",1,"Yes","No"
6," Single Person",1,"Yes","Yes"
16," Single Person Over ",1,"Yes","Yes"
7," Couple,  Children",4,"Yes","No"
5," Single Parent,  Child",2,"No","Yes"
10," Single Person Over ",1,"No","No"
5," Single Person",1,"Yes","No"
12," Single Parent,  Child",2,"Yes","Yes"
10," Single Person",1,"Yes","No"
30," Single Person Over ",1,"Yes","No"
9," Single Person",1,"No","Yes"
5," Single Person",1,"No","No"
7," Single Person",1,"Yes","No"
22," Single Person Over ",1,"Yes","Yes"
9," Single Parent,  Children",3,"Yes","No"
5," Single Person",1,"Yes","Yes"
11," Couple Only Over ",2,"Yes","No"
6," Single Person",1,"No","Yes"
15," Couple Only",2,"No","No"
22," Single Person",1,"No","No"
7," Couple Only",2,"No","No"
7," Couple,  Children",5,"Yes","No"
8," Single Parent, > Children",5,"Yes","No"
7," Single Person Over ",1,"Yes","No"
6," Single Person",1,"Yes","Yes"
7," Couple,  Child",3,"Yes","No"
7," Single Person Over ",1,"Yes","No"
8," Single Parent, > Children",7,"No","Yes"
7," Single Person",1,"Yes","Yes"
10," Single Person",1,"Yes","Yes"
8," Single Person",1,"Yes","No"
10," Single Parent,  Children",3,"No","Yes"
7," Single Person",1,"No","Yes"
5," Single Parent,  Child",2,"No","Yes"
5," Single Person",1,"No","Yes"
11," Single Person",1,"Yes","No"
8," Single Parent,  Children",3,"No","No"
7," Single Parent,  Child",2,"No","No"
5," Single Person",1,"Yes","Yes"
6," Single Person Over ",1,"Yes","Yes"
45," Single Person Over ",1,"Yes","Yes"
7," Single Person",1,"Yes","Yes"
8," Single Person",1,"No","Yes"
5," Single Person",1,"Yes","Yes"
5," Single Person Over ",1,"Yes","Yes"
6," Single Person",1,"No","No"
9," Single Person",1,"No","Yes"
5," Couple Only",2,"No","Yes"
5," Single Person Over ",1,"Yes","Yes"
5," Single Person",1,"No","No"
6," Single Person",1,"No","No"
7," Single Person",1,"No","Yes"
5," Single Person Over ",1,"Yes","Yes"
13," Single Person",1,"No","Yes"
9," Single Person Over ",1,"Yes","Yes"
8," Single Person Over ",1,"Yes","No"
5," Single Person",1,"No","Yes"
9," Single Person Over ",1,"Yes","Yes"
6," Single Parent,  Child",2,"Yes","Yes"
7," Single Person",1,"Yes","No"
7," Single Person",1,"No","Yes"
5," Single Parent,  Children",3,"No","Yes"
7," Single Person Over ",1,"Yes","No"
5," Single Parent, > Children",4,"No","Yes"
7," Single Person Over ",1,"Yes","No"
13," Single Person Over ",1,"Yes","Yes"
6," Single Parent, > Children",4,"No","Yes"
7," Single Person Over ",1,"Yes","Yes"
9," Single Person",1,"No","Yes"
5," Single Person",1,"No","Yes"
9," Single Person Over ",1,"Yes","Yes"
10," Single Person",1,"No","Yes"
5," Single Person Over ",1,"Yes","No"
23," Single Person Over ",1,"Yes","No"
9," Single Person",1,"Yes","No"
6," Single Parent, > Children",5,"No","Yes"
10," Single Parent,  Children",3,"No","No"
27," Single Person",1,"Yes","Yes"
5," Single Person Over ",1,"Yes","Yes"
7," Other",4,"Yes","Yes"
5," Single Person Over ",1,"Yes","Yes"
5," Single Parent, > Children",4,"No","Yes"
14," Single Parent, > Children",5,"No","No"
5," Single Person",1,"No","Yes"
14," Single Person Over ",1,"Yes","No"
5," Single Person",1,"No","Yes"
6," Single Person Over ",1,"Yes","Yes"
10," Single Person",1,"No","No"
9," Single Parent,  Children",3,"No","Yes"
15," Couple Only Over ",2,"Yes","No"
5," Single Parent,  Children",3,"No","Yes"
27," Single Parent,  Child",2,"No","No"
13," Single Person Over ",1,"Yes","Yes"
8," Single Person Over ",1,"Yes","No"
9," Single Person Over ",1,"Yes","No"
17," Single Person",1,"No","Yes"
5," Single Person Over ",1,"Yes","Yes"
19," Single Person",1,"Yes","No"
15," Single Parent,  Child",2,"Yes","Yes"
13," Single Person",1,"Yes","Yes"
5," Single Parent, > Children",4,"No","Yes"
12," Single Parent,  Children",3,"Yes","Yes"
12," Single Parent,  Children",3,"No","No"
12," Single Parent,  Child",2,"No","No"
5," Single Person Over ",1,"Yes","No"
12," Single Person",1,"Yes","No"
6," Single Person Over ",1,"Yes","Yes"
12," Single Person",1,"No","No"
13," Single Parent,  Child",2,"Yes","No"
9," Single Parent, > Children",4,"No","Yes"
5," Single Person Over ",1,"Yes","Yes"
16," Single Person",1,"No","No"
9," Single Person",1,"Yes","Yes"
27," Single Person",1,"Yes","Yes"
7," Single Parent,  Child",2,"No","Yes"
5," Single Parent,  Child",2,"Yes","Yes"
10," Single Person",1,"No","Yes"
7," Single Person Over ",1,"Yes","Yes"
6," Single Person Over ",1,"Yes","Yes"
5," Single Parent,  Child",2,"No","Yes"
5," Single Person",1,"Yes","Yes"
5," Single Person Over ",1,"Yes","No"
5," Single Person",1,"No","Yes"
7," Single Person",1,"No","No"
7," Single Person",1,"No","No"
8," Single Person Over ",1,"Yes","No"
7," Single Person Over ",1,"Yes","No"
10," Single Person",1,"No","No"
